id,x,y,sobr,tri
3,42,76,0.48223221632155094,2
5,46,80,0.482232216105515,2
8,46,89,0.48223221609452765,2
12,45,88,0.4822322161055664,2
22,73,79,0.48223088136935127,2
24,72,77,0.482232215507234,2
30,80,68,0.4822351348212813,2
31,83,68,0.48223200402998884,2
32,78,66,0.48223223956215694,2
33,79,71,0.4822326082389095,2
36,67,52,0.482263701431849,2
52,93,70,0.4822322161055596,2
53,92,77,0.48223221610554096,2
55,91,82,0.48223223241370455,2
57,85,90,0.48223221609533745,2
63,93,93,0.482232216105339,2
65,88,81,0.48223218302759235,2
66,87,81,0.5416276097802755,1
67,86,75,0.48223221610958605,2
69,83,71,0.48223221611094785,2
70,84,68,0.4822322161083637,2
74,90,42,0.48223327093244445,2
83,67,82,0.48223221635458385,2
87,69,63,0.4822322161069235,2
93,40,74,0.4822308271779347,2
95,35,72,0.4822322114233886,2
96,35,77,0.4822322160261506,2
97,37,80,0.4822322161255152,2
99,31,68,0.4822322160813605,2
106,7,28,0.48223221645260744,2
112,9,70,0.48223199200193306,2
117,9,88,0.48763995793099696,2
120,0,87,0.4822322161057882,2
124,16,79,0.479636154890326,2
128,6,58,0.48223221648150555,2
133,0,74,0.4822322161056923,2
135,4,66,0.4822322238897179,2
137,6,55,0.4822322161055291,2
139,4,51,0.4822322160786317,2
143,6,56,0.4822319098051618,2
148,24,44,0.4822322161055435,2
149,36,51,0.48223109344560006,2
154,31,86,0.4822324448027316,2
155,25,89,0.4822350081128797,2
156,19,91,0.4822322161044806,2
161,12,80,0.48223221610421213,2
165,24,84,0.482232216105616,2
167,23,86,0.4822322161053341,2
175,21,77,0.4822322161055291,2
176,12,76,0.4822322168231105,2
177,27,57,0.4822401103907345,2
179,19,63,0.48223221696367863,2
181,39,51,0.4822316767530553,2
183,39,45,0.48223693410570495,2
189,18,17,0.48223221610659056,2
195,49,2,0.48223221610586203,2
197,30,21,0.4822322204081631,2
205,60,1,0.48223221790526355,2
209,49,5,0.48223221610553474,2
213,61,4,0.6052393257247075,3
219,64,6,0.4822327828447019,2
224,88,33,0.5139831606525789,1
230,53,43,0.482232261908683,2
232,69,28,0.48223221610558814,2
234,77,21,0.48223221492750407,2
238,81,19,0.4831124530216638,1
239,78,18,0.2394355049863371,2
240,79,18,0.4822323816711505,2
241,74,19,0.48223221610552897,2
244,68,16,0.4822322161056179,2
245,73,15,0.5392134973182354,1
246,73,14,0.29925919568321063,2
252,52,11,0.4822322161055394,2
254,55,15,0.4822322166738355,2
255,51,17,0.7807660446695721,2
256,65,19,0.4822322160709573,2
259,72,29,0.4821460449138096,2
260,76,28,0.48223223740937043,2
264,78,39,0.48223992873256954,2
268,73,30,0.48223221820182244,2
271,67,27,0.48223029055568284,2
272,72,24,0.4822323790264614,2
279,54,23,0.4822322161386587,2
282,65,36,0.4822322161251527,2
285,46,34,0.4822322161063814,2
