id,x,y,sobr,tri
0,47,66,0.7890015820401364,1
1,39,62,0.9024577158353815,1
14,71,86,0.9024554087385326,1
16,74,84,0.9024577158394937,1
20,80,87,0.9024577158393814,1
25,73,76,0.9024577115509189,1
27,75,76,0.9024577157913962,1
35,62,49,0.9024577158377736,1
41,66,50,0.9024576265124806,1
42,69,60,0.9024577158394935,1
47,91,56,0.9024577158394937,1
49,93,55,0.9024576487547518,1
51,93,65,0.9024576939152433,1
60,85,92,0.902457715231088,1
62,80,89,0.9024577158394926,1
64,87,77,0.9024577158394935,1
71,81,76,0.9024577158386902,1
72,83,82,0.9024577158394882,1
73,87,43,0.902449243796744,1
76,73,63,0.9024577158332172,1
77,72,66,0.9005489613847824,1
78,66,66,0.9024036628091514,1
79,62,66,0.9024538118045964,1
80,62,65,0.9024461164578226,1
81,64,78,0.902434907476495,1
89,67,60,0.9024574972824482,1
91,46,72,0.9024577158394937,1
101,23,41,0.6304025010246899,1
108,1,28,0.9024499215479296,1
111,10,69,0.9024577158394935,1
114,1,79,0.902457715839492,1
129,4,58,0.9024577099340723,1
130,2,62,0.9024577158394895,1
132,2,66,0.9024577158385865,1
142,10,47,0.9024577158394937,1
163,28,83,0.9024577158394571,1
168,17,88,0.8897617439535372,1
169,16,87,0.902457632620921,1
171,17,84,0.902457715739051,1
172,25,83,0.9024577158391236,1
173,28,84,0.9024577158390725,1
174,24,75,0.9024577119936794,1
185,39,38,0.9024576245208682,1
188,27,21,0.9024577158394103,1
191,45,41,0.9024577158394937,1
193,49,22,0.9024577074003801,1
194,46,17,0.9024577157872122,1
199,21,10,0.8914712581170785,1
201,41,17,0.9024577158394933,1
204,61,1,0.9024574397101748,1
206,60,2,0.9024577037537591,1
211,55,9,0.9024577158124303,1
214,61,3,0.9023712337533196,1
222,88,28,0.9024577158394893,1
226,88,37,0.9024577157436753,1
228,55,30,0.9018052726583885,1
231,59,39,0.9024577152262607,1
236,82,26,0.9024577158394937,1
237,81,33,0.9024064972330168,1
242,73,18,0.9024577158394937,1
248,77,17,0.90245771549415,1
253,53,12,0.9024577158394569,1
257,76,17,0.9010378355874133,1
262,78,27,0.9024576974008778,1
263,77,38,0.90245771583946,1
269,69,30,0.9017400595444729,1
274,73,24,0.9024577058505574,1
275,73,23,0.9024577157882319,1
280,55,21,0.9024577158394937,1
