id,x,y,sobr,tri
2,39,76,0.12210237551044395,3
6,45,84,0.12210225914784073,3
7,39,84,0.12210225901716504,3
11,38,90,0.14378442445828127,3
13,52,90,0.05612296282765311,3
15,73,88,0.12210225792543722,3
17,78,84,0.12210225886197473,3
18,77,85,0.14453336236868403,3
19,80,76,0.12210225802405533,3
37,75,53,0.12210225836684058,3
38,79,52,-0.17403657814900456,3
39,79,46,0.12210225801808511,3
43,70,61,0.122113373619611,3
44,74,64,0.12211918888872991,3
45,91,51,0.12279722043716018,3
46,93,59,0.12210246766598348,3
48,93,57,0.1222669815311001,2
50,91,53,0.12210225847376083,3
54,91,81,0.12210225873354391,3
56,88,88,0.14346702698872643,3
58,86,87,0.046590416871920726,3
59,87,90,0.12210225799826141,3
82,65,83,0.12210225899206179,3
86,67,66,0.1436101477975143,3
92,43,72,0.12210225876664066,3
100,30,49,-0.11913272659362723,3
102,13,29,0.13839286221684494,3
104,6,28,0.12210235036647327,3
107,2,28,0.12163135042327727,3
118,8,88,0.1439328806106655,3
119,6,88,0.12210225800958713,3
123,4,76,0.14417473699271516,3
125,17,76,0.12210224799244435,3
138,5,50,0.12210028832408021,3
141,17,44,0.12210225799612578,3
144,18,55,0.2795001608742515,3
147,20,51,0.11290386950424208,3
151,36,68,0.1221022580009557,3
153,35,59,0.14413084039583918,3
157,22,93,0.1446345202309241,3
164,29,85,0.42276119530071293,3
170,11,93,0.13094151971597262,3
178,23,54,0.12210236275901959,3
180,20,57,0.39550389621467735,3
182,38,51,0.12210226075078517,3
186,33,34,0.12227024020847371,3
202,44,2,0.12210225786297652,3
207,52,7,0.13880351012210718,3
210,53,8,0.12210273918056586,3
212,60,5,0.12210225906845257,3
215,61,2,0.12210225870553709,3
218,64,5,0.1440165330405308,3
223,92,28,0.19257316218620085,3
225,88,35,0.14477433833227954,3
229,56,38,0.10962147698572094,3
247,75,11,0.3112005054035308,3
249,58,18,0.1435755617139764,3
250,55,16,0.12210225939975322,3
251,53,15,0.1488100991006845,3
261,76,32,0.14420014719205815,3
265,73,41,0.1221324148027299,3
266,71,39,0.43020550283478637,3
267,74,31,0.14460128431871527,3
270,68,30,0.12210225801524427,3
273,73,24,0.1199091440301035,3
281,55,27,0.34218160674808656,3
283,59,23,0.12210225799550084,3
